link,country,amount,note,year,retrieved
/the-world-factbook/countries/israel,Israel,40800.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/italy,Italy,41900.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/italy,Italy,39100.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/italy,Italy,42700.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/jamaica,Jamaica,9600.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/jamaica,Jamaica,9200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/jamaica,Jamaica,10200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/japan,Japan,40800.0,,2021,2023-03-31
/the-world-factbook/countries/japan,Japan,39900.0,,2020,2023-03-31
/the-world-factbook/countries/japan,Japan,41700.0,,2019,2023-03-31
/the-world-factbook/countries/jersey,Jersey,56600.0,,2016,2023-03-31
/the-world-factbook/countries/jersey,Jersey,49500.0,,2015,2023-03-31
/the-world-factbook/countries/jordan,Jordan,9200.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/jordan,Jordan,9200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/jordan,Jordan,9600.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/kazakhstan,Kazakhstan,26100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/kazakhstan,Kazakhstan,25400.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/kazakhstan,Kazakhstan,26400.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/kenya,Kenya,4700.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/kenya,Kenya,4500.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/kenya,Kenya,4600.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/kiribati,Kiribati,1900.0,data are in 2017 dollars,2021,2023-03-31
